# Simulation 1 (Up to date)
# 404 data points written for 4 variables.
#
# Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Stability margin calibers (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
270.24,-6.7942,0.036541,NaN
267.01,-6.8009,-0.014061,NaN
263.61,-6.8214,-0.040935,NaN
260.2,-6.807,0.028809,NaN
257.38,-6.787,0.048029,NaN
253.98,-6.8172,-0.060394,NaN
251.06,-6.7835,0.078657,NaN
247.66,-6.8217,-0.076532,NaN
245.06,-6.7779,0.11473,NaN
241.66,-6.8164,-0.07696,NaN
238.26,-6.803,0.026821,NaN
234.86,-6.8104,-0.014881,NaN
231.45,-6.7912,0.038544,NaN
228.05,-6.8124,-0.042369,NaN
224.99,-6.7751,0.082637,NaN
221.6,-6.7997,-0.049267,NaN
218.2,-6.8026,-0.0056799,NaN
216.24,-6.7596,0.14922,NaN
212.85,-6.8054,-0.091592,NaN
209.45,-6.786,0.03874,NaN
206.06,-6.792,-0.012012,NaN
202.66,-6.7897,0.0046002,NaN
199.27,-6.7924,-0.0054098,NaN
195.93,-6.7713,0.042941,NaN
192.54,-6.7802,-0.017734,NaN
189.15,-6.7966,-0.032949,NaN
186.12,-6.7631,0.075002,NaN
182.73,-6.788,-0.049836,NaN
179.34,-6.788,1.4635e-5,NaN
175.94,-6.7821,0.011756,NaN
174.24,-6.7386,0.17223,NaN
172.3,-6.7357,0.010186,NaN
168.92,-6.8018,-0.13216,NaN
165.53,-6.7633,0.076933,NaN
162.92,-6.7546,0.02247,NaN
159.53,-6.7837,-0.058091,NaN
156.14,-6.7817,0.0039098,NaN
152.91,-6.7553,0.055376,NaN
149.52,-6.7902,-0.069697,NaN
146.14,-6.7542,0.071969,NaN
142.75,-6.7891,-0.069768,NaN
139.36,-6.7714,0.03532,NaN
135.98,-6.7629,0.017,NaN
132.59,-6.7791,-0.032352,NaN
129.76,-6.7433,0.085316,NaN
126.38,-6.7837,-0.080795,NaN
122.99,-6.7503,0.066756,NaN
119.61,-6.7691,-0.037503,NaN
116.23,-6.7699,-0.0016476,NaN
112.85,-6.7455,0.048841,NaN
109.47,-6.7672,-0.043458,NaN
107.23,-6.7296,0.1134,NaN
103.85,-6.7813,-0.10357,NaN
